brand,model,aggregateRating/ratingValue,aggregateRating/reviewCount,offers/price,offers/priceCurrency,dimentions/depth,dimentions/width,dimentions: depth x width,features/0/description,features/1/description,upc,weight,URL
Razer,RZ09-0483UEJ4-R3U1,3.5,33,799,USD,13.98,9.61,13.98 x 9.61,Packed for pure performance with 1.50 gPD (Graphics Power Density) and delivers up to 35% more graphic power per inch than any other 16 gaming laptop,"From full-blown AAA gaming to full-on content creation, run resource-intensive tasks flawlessly with the most powerful mobile processor leveraging desktop-grade silicon",8.84E+11,18.7 lb,https://www.bestbuy.com/site/Razer-RZ09-0483UEJ4-R3U1/
Microsoft,RBG-00051,4.7,170,799,USD,8.8,12.1,8.8 x 12.1,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",8.84E+11,18.7 lb,https://www.bestbuy.com/site/Microsoft-RBG-00051/
Samsung,NP730QFG-KA2US,4.7,106,799,USD,18.2,9.6,18.2 x 9.6,"From all night rabbit holes to hobbies to intensive DIY projects, explore your world at the speed of thought. This processor can keep up with your curiosity.","Explore your passions from just about anywhere with Galaxy Book3 360. Featuring a thin, lightweight design that’s made to move with you, this PC is always ready to help you pursue your interests.",8.84E+11,18.7 lb,https://www.bestbuy.com/site/Samsung-NP730QFG-KA2US/
Alienware,AWM18-A145BLK-PUS,4.3,242,799,USD,12.59,16.15,12.59 x 16.15,"Protect your data with enterprise-grade security, login from any device anywhere, and boost productivity with powerful management tools.","Imagine, design and create without boundaries. The powerful AMD Ryzen 9 processor features machine intelligence that anticipates your needs. Discover true responsiveness with 12 cores and 24 threads for ultimate performance.",8.84E+11,18.7 lb,https://www.bestbuy.com/site/Alienware-AWM18-A145BLK-PUS/
Razer,RZ09-0427NEA3-R3U1,4.2,48,799,USD,8.66,12.59,8.66 x 12.59,The new GeForce RTX 3070 Ti is up to 70% faster than RTX 2070 SUPER laptops and can deliver 100 frames per second at 1440p resolution,Experience cutting-edge speed with the newly released AMD Ryzen 9 6900HX 8-Core CPU with up to 4.9GHz of Max Boost for unrivalled performance to take on the most demanding gaming and creative tasks,8.14E+11,1.2 pounds,https://www.bestbuy.com/site/Razer-RZ09-0427NEA3-R3U1/
Microsoft,RS1-00001,4.8,4,1205,USD,8.2,11.3,8.2 x 11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Surface Pro 9 with 5G and Microsoft SQ 3 introduces the next wave of innovation with 5G connectivity,² AI-enhanced video calling, and longer battery life.⁴ It’s the perfect choice for life on the go.⁷",8.14E+11,1.2 pounds,https://www.bestbuy.com/site/Microsoft-RS1-00001/
Microsoft,RIP-00001,4.8,157,899,USD,9.6,13.4,9.6 x 13.4,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",8.87E+11,2.2 pounds,https://www.bestbuy.com/site/Microsoft-RIP-00001/
ASUS,M1603QA-R712512,4.7,808,899,USD,9.82,14.12,9.82 x 14.12,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",The 1920 x 1080 resolution boasts impressive color and clarity. Energy-efficient LED backlight.,8.87E+11,2.2 pounds,https://www.bestbuy.com/site/ASUS-M1603QA-R712512/
Microsoft,RBG-00001,4.7,170,899,USD,8.8,12.1,8.8 x 12.1,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",8.87E+11,2.2 pounds,https://www.bestbuy.com/site/Microsoft-RBG-00001/
Microsoft,5PB-00027/5PB-00001,4.6,338,899,USD,8.8,12.1,8.8 x 12.1,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",8.87E+11,2.2 pounds,https://www.bestbuy.com/site/Microsoft-5PB-00027/5PB-00001/
ASUS,GA402XI-G14.R94070,4.3,60,899,USD,8.95,12.31,8.95 x 12.31,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",The 165Hz ultra bright 500 nits display features a 2560 x 1440 (QHD) resolution that gives you more space for toolbars and tabs.,8.87E+11,2.2 pounds,https://www.bestbuy.com/site/ASUS-GA402XI-G14.R94070/
Lenovo,83B1001WUS,4.7,365,899,USD,9.06,12.52,9.06 x 12.52,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,8.87E+11,2.2 pounds,https://www.bestbuy.com/site/Lenovo-83B1001WUS/
ASUS,GA402XV-G14.R94060,4.5,704,899,USD,8.95,12.31,8.95 x 12.31,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",The 165Hz ultra bright 500 nits display features a 2560 x 1440 (QHD) resolution that gives you more space for toolbars and tabs.,8.87E+11,2.2 pounds,https://www.bestbuy.com/site/ASUS-GA402XV-G14.R94060/
HP,14-ey0023dx,4.6,14,899,USD,8.94,12.36,8.94 x 12.36,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.",Experience a whole new level of speed and power in a laptop powered by AMD Ryzen processors.,8.87E+11,2.2 pounds,https://www.bestbuy.com/site/HP-14-ey0023dx/
Samsung,NP960QFG-KA1US,4.6,538,899,USD,13.99,9.93,13.99 x 9.93,"Creatives, go getters and visionaries, here’s a PC that’s ready to help you create the life you love. Empower your imagination with Galaxy Book3 Pro 360, featuring a powerful processor that helps creative minds thrive it’s the latest design by Intel.","Create in all the places that spark your imagination with a thin, lightweight design that’s made to move with you.",8.87E+11,2.2 pounds,https://www.bestbuy.com/site/Samsung-NP960QFG-KA1US/
Dell,XPS9320-7688BLK-PUS,4.5,161,899,USD,7.84,11.63,7.84 x 11.63,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC",Natural finger-touch navigation makes the most of Windows 11. 3456 x 2160 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.,8.87E+11,2.2 pounds,https://www.bestbuy.com/site/Dell-XPS9320-7688BLK-PUS/
Microsoft,XK1-00011,4.7,222,899,USD,10.95,8.12,10.95 x 8.12,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Handle whatever the day throws at you, wherever you are, with faster performance, all-day battery life¹, and Windows 11.",8.48E+11,5 pounds,https://www.bestbuy.com/site/Microsoft-XK1-00011/
Microsoft,RIP-00026,4.8,157,899,USD,9.6,13.4,9.6 x 13.4,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Family, friends, passions, music, creations – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",8.48E+11,5 pounds,https://www.bestbuy.com/site/Microsoft-RIP-00026/
Lenovo,83BS0001US,4.8,128,899,USD,9.85,14.26,9.85 x 14.26,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,8.48E+11,5 pounds,https://www.bestbuy.com/site/Lenovo-83BS0001US/
Acer,PH16-71-93FR,4.3,89,1850,USD,10.88,14.15,10.88 x 14.15,"Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 16” with a 16:10 aspect ratio, the WQXGA LED panel clocks in with a fast 240Hz refresh & 3ms Overdrive response time. With NVIDIA G-SYNC and NVIDIA Advanced Optimus, you're guaranteed that games, movies, and whatever's on-screen – all benefit from extreme levels of performance.",27242909274,1.2 pounds,https://www.bestbuy.com/site/Acer-PH16-71-93FR/
Lenovo,82YQ0007US,4.6,197,899,USD,8.03,11.78,8.03 x 11.78,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,6.13E+11,7.2 pounds,https://www.bestbuy.com/site/Lenovo-82YQ0007US/
Microsoft,XK1-00059,4.7,222,899,USD,10.95,8.12,10.95 x 8.12,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Handle whatever the day throws at you, wherever you are, with faster performance, all-day battery life¹, and Windows 11.",6.13E+11,7.2 pounds,https://www.bestbuy.com/site/Microsoft-XK1-00059/
Lenovo,82WK0069US,4.2,69,899,USD,10.25,14.31,10.25 x 14.31,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,6.13E+11,7.2 pounds,https://www.bestbuy.com/site/Lenovo-82WK0069US/
MSI,BRAVO15B7001,4.4,109,650,USD,10.25,14.31,10.25 x 14.31,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",The 1920 x 1080 resolution with 144hz refresh and 3ms response time boasts impressive color and clarity. Energy-efficient LED backlight.,6.13E+11,7.2 pounds,https://www.bestbuy.com/site/MSI-BRAVO15B7001/
Dell,XPS9530-9565SLV-PUS,4.5,108,1100,USD,9.06,13.57,9.06 x 13.57,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC","Content comes alive with breathtaking detail with vivid, TRUE-to-life color on the OLED display with 3456 x2160 resolution. Natural finger-touch navigation makes the most of Windows 11.",8.50E+11,5 pounds,https://www.bestbuy.com/site/Dell-XPS9530-9565SLV-PUS/
Microsoft,XK1-00006,4.7,222,1100,USD,10.95,8.12,10.95 x 8.12,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,"Handle whatever the day throws at you, wherever you are, with faster performance, all-day battery life¹, and Windows 11.",19048205209,4.2 pounds,https://www.bestbuy.com/site/Microsoft-XK1-00006/
Dell,i7630-7305BLU-PUS,4.6,184,1100,USD,9.91,14.05,9.91 x 14.05,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC",Natural finger-touch navigation makes the most of Windows 11. 3840 x 2400 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.,19048205209,4.2 pounds,https://www.bestbuy.com/site/Dell-i7630-7305BLU-PUS/
Lenovo,83B2001UUS,4.7,444,1100,USD,8.58,11.97,8.58 x 11.97,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,8.88E+11,5 pounds,https://www.bestbuy.com/site/Lenovo-83B2001UUS/
Samsung,NP750XFH-XB1US,3.5,2,1100,USD,14.04,9.02,14.04 x 9.02,"Welcome to power, Galaxy style. Breeze through all the things you need to do with a processor that’s ready to help you take on the day.","Grab it and go. With a thin, light design that’s made to move with you, Galaxy Book3 is always ready to help you own the day anywhere you go.",8.88E+11,5 pounds,https://www.bestbuy.com/site/Samsung-NP750XFH-XB1US/
Microsoft,QEZ-00035,4.7,655,1100,USD,8.2,11.3,8.2 x 11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.,8.88E+11,5 pounds,https://www.bestbuy.com/site/Microsoft-QEZ-00035/
HP,14-ef2013dx,4.6,378,1100,USD,8.68,11.73,8.68 x 11.73,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.",Intuitive touchscreen technology lets you control your PC right from the screen. And transform your content with 1920 x 1200 resolution and 178-degree wide-viewing angles.,7.18E+11,1.52 lb,https://www.bestbuy.com/site/HP-14-ef2013dx/
Lenovo,83B2001TUS,4.7,164,1100,USD,8.58,11.97,8.58 x 11.97,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,7.18E+11,1.52 lb,https://www.bestbuy.com/site/Lenovo-83B2001TUS/
Lenovo,82YQ003RUS,4.6,22,1100,USD,8.03,11.78,8.03 x 11.78,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,8.47E+11,0.6 pounds,https://www.bestbuy.com/site/Lenovo-82YQ003RUS/
HP OMEN,16-wd0063dx,4.7,425,1100,USD,10.21,14.53,10.21 x 14.53,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Reduce frustrating lag and image ghosting with a display that combines a 144Hz refresh rate and 1080p Full High Definition resolution for smooth, crisp gameplay.",8.47E+11,0.6 pounds,https://www.bestbuy.com/site/HP OMEN-16-wd0063dx/
HP,15-fa1093dx,4.6,915,1100,USD,10.4,14.09,10.4 x 14.09,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Reduce frustrating lag and image ghosting with a display that combines a 144Hz refresh rate and 1080p Full High Definition resolution for smooth, crisp gameplay.",8.47E+11,0.6 pounds,https://www.bestbuy.com/site/HP-15-fa1093dx/
Dell,i7435-A329BLU-PUS,4.6,254,1100,USD,8.92,12.36,8.92 x 12.36,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience",8.47E+11,0.6 pounds,https://www.bestbuy.com/site/Dell-i7435-A329BLU-PUS/
ASUS,G814JZR-G18.I94080,5,1,1100,USD,1.21,11.57,1.21 x 11.57,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","Power through any game or project with an Intel Core i9-14900HX processor, featuring up to a 65W TDP and a hybrid architecture built from the ground up for Windows 11. 8 Performance core (16 threads) and 16 efficiency cores.",46014740914,1.4 pounds,https://www.bestbuy.com/site/ASUS-G814JZR-G18.I94080/
HP,14-ek0073dx,4.6,356,1100,USD,8.27,12.68,8.27 x 12.68,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",12th Gen Intel Core processor distributes performance where you need it the most — saving you time and increasing your ability to do the things you actually want.,46014740914,1.4 pounds,https://www.bestbuy.com/site/HP-14-ek0073dx/
Acer,PH18-71-756U,4.6,121,1100,USD,12.27,15.94,12.27 x 15.94,"Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 18 inches with a 16:10 aspect ratio, the pristine WUXGA 1920 x 1200 LCD panel – this display clocks in with a fast 165Hz refresh, 100% sRGB, 300nit brightness and 3ms Overdrive response time. The addition of NVIDIA Advanced Optimus and NVIDIA G-SYNC.",46014740914,1.4 pounds,https://www.bestbuy.com/site/Acer-PH18-71-756U/
Lenovo,82V20006US,4.5,228,1100,USD,8.72,12.92,8.72 x 12.92,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","Capacitive display responds to finger touches instead of pressure, recognizing a light swipe but not a standard stylus. IPS technology offers wide viewing angles. 2880 x 1620 3K resolution. LED backlight.",46014740914,1.4 pounds,https://www.bestbuy.com/site/Lenovo-82V20006US/
Microsoft,QLP-00001,4.5,59,1100,USD,8.2,11.3,8.2 x 11.3,Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you(1).,Surface Pro 9 gives you the tablet flexibility you want and the laptop performance and battery life⁴ you need to move through your day — all in one ultra-portable device.,7.00E+11,5 pounds,https://www.bestbuy.com/site/Microsoft-QLP-00001/
Dell,i5535-A933GRY-PUS,4.4,131,1100,USD,10.8,14.07,10.8 x 14.07,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.,7.00E+11,5 pounds,https://www.bestbuy.com/site/Dell-i5535-A933GRY-PUS/
HP OMEN,16-xf0033dx,4.7,122,1100,USD,10.21,14.53,10.21 x 14.53,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Reduce frustrating lag and image ghosting with a display that combines a 165Hz refresh rate and 1080p Full High Definition resolution for smooth, crisp gameplay.",6.09E+11,2.4 pounds,https://www.bestbuy.com/site/HP OMEN-16-xf0033dx/
Lenovo,82VG0091US,3.9,404,1100,USD,9.29,14.18,9.29 x 14.18,"Experience the most secure Windows ever built with fast boot times, increased responsiveness, and added protection against phishing and malware.",Typical 1366 x 768 HD resolution. Energy-efficient LED backlight.,6.09E+11,2.4 pounds,https://www.bestbuy.com/site/Lenovo-82VG0091US/
Dell,i7635-A503BLU-PUS,4.7,363,1100,USD,9.91,14.05,9.91 x 14.05,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","Equipped with a FHD+ IPS touch screen, the border-less visual effect minimizes distractions offering better cinema, document and web browsing experience",8.42E+11,5 pounds,https://www.bestbuy.com/site/Dell-i7635-A503BLU-PUS/
HP,16-f2023dx,4.7,193,1100,USD,9.66,14.09,9.66 x 14.09,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","The spectacular 3840 x 2400 resolution delivers your content in jaw-dropping quality with true-to-life definition and 178-degree wide-viewing angles. And with touch, you can control your PC right from the screen.",7.35E+11,5 pounds,https://www.bestbuy.com/site/HP-16-f2023dx/
Alienware,AWM16-7602BLK-PUS,4.5,443,1100,USD,11.41,14.5,11.41 x 14.5,"Protect your data with enterprise-grade security, login from any device anywhere, and boost productivity with powerful management tools.",2560 x 1600 resolution delivers amazing color and clarity with nearly 2.8 times the pixel density of Full HD.,7.35E+11,5 pounds,https://www.bestbuy.com/site/Alienware-AWM16-7602BLK-PUS/
HP,15-fb1013dx,4.7,1097,1100,USD,10.04,14.09,10.04 x 14.09,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Reduce frustrating lag and image ghosting with a display that combines a 144Hz refresh rate and 1080p Full High Definition resolution for smooth, crisp gameplay.",92592061934,7.2 pounds,https://www.bestbuy.com/site/HP-15-fb1013dx/
Acer,PHN16-71-50JG,4.7,423,1100,USD,11.02,14.18,11.02 x 14.18,"Windows 11 was designed with you at the center - to make life easier, more creative, secure, connected and fun! It's also faster with new features to help you get more done.","At 16” with a 16:10 aspect ratio, the pristine WUXGA (1920 x 1200) IPS panel has a fast 165Hz refresh rate, NVIDIA G-SYNC technology, 3ms Overdrive response time, 400nit Brightness and is 100% sRGB.",92592061934,7.2 pounds,https://www.bestbuy.com/site/Acer-PHN16-71-50JG/
Razer,RZ09-0427NEM3-R3U1,4.2,48,1100,USD,8.66,12.59,8.66 x 12.59,The new GeForce RTX 3070 Ti is up to 70% faster than RTX 2070 SUPER laptops and can deliver 100 frames per second at 1440p resolution,Experience cutting-edge speed with the newly released AMD Ryzen 9 6900HX 8-Core CPU with up to 4.9GHz of Max Boost for unrivalled performance to take on the most demanding gaming and creative tasks,50616008242,2 pounds,https://www.bestbuy.com/site/Razer-RZ09-0427NEM3-R3U1/
Dell,XPS9530-7701SLV-PUS,4.6,151,1100,USD,9.06,13.57,9.06 x 13.57,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC",1920 x 1200 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.,22265278338,2 pounds,https://www.bestbuy.com/site/Dell-XPS9530-7701SLV-PUS/
Lenovo,21B6S0TN00,4,31,1100,USD,8.58,12,8.58 x 12,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.","The 1920 x 1200 resolution boasts impressive color and clarity. Touch, tap, glide and make the most of Windows 11. IPS technology for wide viewing angles. Energy-efficient LED backlight.",22265278338,2 pounds,https://www.bestbuy.com/site/Lenovo-21B6S0TN00/
Lenovo,82Y9000PUS,4.6,186,1100,USD,10.25,14.16,10.25 x 14.16,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,97855136107,1.96 pounds,https://www.bestbuy.com/site/Lenovo-82Y9000PUS/
HP,17-cs0013dx,4.5,30,1100,USD,7.53,10.91,7.53 x 10.91,With five versatile modes and integrated kickstand for flexible computing from anywhere.  The world’s first foldable PC with one and a half screens and a full-size detachable Bluetooth keyboard. Integrated kickstand supports viewing angles in desktop mode.,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.",27108952628,3 pounds,https://www.bestbuy.com/site/HP-17-cs0013dx/
Lenovo,82XF001TUS,4.5,30,500,USD,9.88,14.02,9.88 x 14.02,16GB Soldered LPDDR5-5200,512GB SSD M.2 2242 PCIe 4.0x4 NVMe,27108952628,3 pounds,https://www.bestbuy.com/site/Lenovo-82XF001TUS/
Dell,G5535-A643GRY-PUS,4.5,30,1150,USD,10.8,14.07,10.8 x 14.07,"Windows 11 has all the power and security of Windows 10 with a redesigned and refreshed look. It also comes with new tools, sounds, and apps. Every detail has been considered. All of it comes together to bring you a refreshing experience on your PC.",1920 x 1080 resolution showcases your games and HD movies with impressive color and clarity. Antireflective finish reduces eyestrain and widens the field of view.,27108952628,3 pounds,https://www.bestbuy.com/site/Dell-G5535-A643GRY-PUS/
ASUS,M1605XA-EB96,3,1,699,USD,9.82,14.2,9.82 x 14.2,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",16” WUXGA (1920 x 1200) 16:10 aspect ratio display with ultra-slim NanoEdge bezels with 86% screen-to-body ratio,27108952628,3 pounds,https://www.bestbuy.com/site/ASUS-M1605XA-EB96/
ASUS,G634JYR-XS97,5,1,699,USD,9.82,14.2,9.82 x 14.2,"Windows 11 Pro includes BitLocker Drive Encryption for enhanced security and combines the power of Windows 10 with a redesigned, refreshed look. It introduces new tools, sounds, and apps, ensuring every detail has been carefully considered. Together, these elements create a refreshing experience on your PC.","The Nebula HDR badge means you are getting the highest tier panel, featuring Mini LED technology with up to 1110 nits brightness, 2000 dimming zones, QHD 240Hz/3ms, 100% DCI-P3 color with Pantone Validation, among other premium features.",27108952628,3 pounds,https://www.bestbuy.com/site/ASUS-G634JYR-XS97/
ASUS,UP3404VA-DS54T-S,5,4,699,USD,8.8,12.26,8.8 x 12.26,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","14-inch WQXGA+ (2880 x 1800) OLED NanoEdge touchscreen, 90Hz refresh rate, with an expansive 16:10 aspect ratio, the main touchscreen is Dolby Vision certified and PANTONE Validated to ensure accurate color rendering",8.85E+11,1.25 pounds,https://www.bestbuy.com/site/ASUS-UP3404VA-DS54T-S/
HP,16-f2013dx,4.7,435,699,USD,9.66,14.09,9.66 x 14.09,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","3072 x 1920 resolution delivers incredible details and lifelike colors. And with touch, you can control your PC right from the screen.",8.85E+11,1.25 pounds,https://www.bestbuy.com/site/HP-16-f2013dx/
HP,7P3B6UT#ABA,4.7,435,578,USD,9,14,9 x 14,"Microsoft Windows 11 Pro gives you a user-friendly interface with useful features like the taskbar turning into the dock, the glass-like desktop, your favorite old widgets, and conveniently accessible snap layouts and groups that align side by side.",Anti-glare Screen reduces eyestrain and widens the field of view. The 1920 x 1080 resolution boasts impressive color and clarity,7.51E+11,0.8 pounds,https://www.bestbuy.com/site/HP-7P3B6UT#ABA/
ASUS,FX507ZV-F15.I74060,4.8,43,799,USD,13.97,9.92,13.97 x 9.92,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.","The 144Hz Full HD 1920x1080 display features adaptive sync to minimize screen tearing, while playing your favorite games.",7.51E+11,0.8 pounds,https://www.bestbuy.com/site/ASUS-FX507ZV-F15.I74060/
HP OMEN,16-wd0013dx,4.6,363,799,USD,10.21,14.53,10.21 x 14.53,"From a rejuvenated Start menu, to new ways to connect to your favorite people, news, games, and content—Windows 11 is the place to think, express, and create in a natural way.","Reduce frustrating lag and image ghosting with a display that combines a 144Hz refresh rate and 1080p Full High Definition resolution for smooth, crisp gameplay.",7.51E+11,0.8 pounds,https://www.bestbuy.com/site/HP OMEN-16-wd0013dx/
ASUS,M6500XV-EB96,4.5,27,799,USD,9.22,14.17,9.22 x 14.17,"Family, friends, passions, music, creations, games – Windows 11 is the one place for it all. With a fresh new feel and tools that make it easier to be efficient, it has what you need for whatever’s next.",15.6” FHD (1920 x 1080) 16:9 aspect ratio with 144Hz refresh rate and ultra-slim NanoEdge bezels,50036322355,4.2 pounds,https://www.bestbuy.com/site/ASUS-M6500XV-EB96/
Lenovo,83DF000CUS,5,3,799,USD,10.25,14.31,10.25 x 14.31,"Windows 11 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen.",Find the relevant information and ideas you need to power your own ingenuity. Copilot in Windows 11 can deliver answers that are more relevant to you.,50036322355,4.2 pounds,https://www.bestbuy.com/site/Lenovo-83DF000CUS/
Lenovo,82LV003WUS,3,2,144,USD,9.29,14.18,9.29 x 14.18,4GB Soldered DDR4-2933,128GB eMMC 5.1,8.87E+11,9.3 pounds,https://www.bestbuy.com/site/Lenovo-82LV003WUS/
